"vendor","isbn","class","title"
"nielsen",9780194420983,2,"Practical English Usage: Paperback"
"worldcat",9780194420983,0,"Practical English usage : [easier, faster reference]"
"open-library",9780194420983,1,"Practical English Usage"
"outpan",9780194420983,1,"Practical English Usage"
"nielsen",9781589016811,2,"Just War: Authority, Tradition, and Practice"
"worldcat",9781589016811,0,"Just war authority, tradition, and practice"
"nielsen",9780415131315,1,"Understanding Educational Research"
"worldcat",9780415131315,0,"Understanding educational research"
"outpan",9780415131315,1,"Understanding Educational Research"
"open-library",415131316,0,"Understanding educational research"
"nielsen",9780130209870,2,"Qualitative Research: A Personal Skills Approach"
"worldcat",9780130209870,0,"Qualitative research : a personal skills approach"
"outpan",9780130209870,0,"Qualitative Research : A Personal Skills Approach"
"open-library",130209872,1,"Qualitative research"
"nielsen",9780415266697,1,"Issues in Art and Design Teaching"
"worldcat",9780415266697,0,"Issues in art and design teaching"
"open-library",9780415266697,0,"Issues in Art and Design Teaching (Issues in Subject Teaching)"
"outpan",9780415266697,0,"Issues in art and design teaching"
"nielsen",9780435401511,1,"Baby and Child Health"
"worldcat",9780435401511,0,"Baby and child health"
"outpan",9780435401511,0,"Baby and Child Health (Professional Development)"
"open-library",9780435401511,1,"Baby and Child Health"
"nielsen",9781844450954,2,"Professional Studies: Primary and Early Years"
"worldcat",9781844450954,0,"Professional studies : primary and early years"
"outpan",9781844450954,0,"Professional Studies : Primary Phase"
"open-library",9781844450954,1,"Professional Studies"
"nielsen",9781412920582,2,"Cross-curricular Learning 3-14: Developing Primary School Practice"
"worldcat",9781412920582,0,"Cross-curricular learning 3-14"
"open-library",9781412920582,1,"Cross-Curricular Learning 3-14"
"outpan",9781412920582,0,"Cross-Curricular Learning 3-14 : Developing Primary School Practice"
"nielsen",9780854960965,2,"Reconstruction in Postwar Germany: British Occupation Policy and the Western Zones, 1945-1955"
"worldcat",9780854960965,0,"Reconstruction in post-war Germany : British occupation policy and the Western zones, 1945-55"
"outpan",9780854960965,2,"Reconstruction in Post-War Germany: British Occupation Policy and the Western Zones, 1945-1955"
"open-library",854960961,0,"Reconstruction in post-war Germany"
"nielsen",9780131441422,1,"Developing Management Skills"
"worldcat",9780131441422,0,"Developing management skills"
"outpan",9780131441422,0,"Developing management skills"
"open-library",9780131441422,1,"Developing Management Skills"
"nielsen",9780750706957,1,"Coordinating Art Across the Primary School"
"worldcat",9780750706957,0,"Coordinating art across the primary school"
"outpan",9780750706957,1,"Coordinating Art Across the Primary School"
"open-library",750706953,0,"Coordinating art across the primary school"
"nielsen",9780934894302,2,"Koran: Visual Presentation of the Miracle"
"worldcat",9780934894302,0,"Quran : visual presentation of the miracle"
"outpan",9780934894302,2,"Quran: Visual Preservation of the Miracle"
"open-library",9780934894302,1,"Quran"
"nielsen",9780761930198,1,"Information Technology and the Criminal Justice System"
"worldcat",9780761930198,0,"Information technology and the criminal justice system"
"open-library",761930191,0,"Information technology and the criminal justice system"
"outpan",9780761930198,1,"Information Technology and the Criminal Justice System"
"worldcat",9780810969292,0,"Frank Gehry, architect"
"outpan",9780810969292,2,"Frank O. Gehry: The Art of Architecture"
"open-library",810969297,0,"Frank Gehry, architect"
"nielsen",9780810969292,2,"Frank O.Gehry: The Art of Architecture"
"nielsen",9780934894302,2,"Koran: Visual Presentation of the Miracle"
"worldcat",9780934894302,0,"Quran : visual presentation of the miracle"
"open-library",9780934894302,1,"Quran"
"outpan",9780934894302,2,"Quran: Visual Preservation of the Miracle"
"nielsen",9780837106212,1,"Ruhr"
"open-library",9780837106212,1,"The Ruhr"
"nielsen",9780130323514,1,"Financial Reporting and Analysis"
"worldcat",9780130323514,0,"Financial reporting & analysis"
"outpan",9780130323514,1,"Financial Reporting and Analysis"
"open-library",9780130323514,0,"Financial Reporting and Analysis (2nd Edition)"
"nielsen",9780140445008,0,"Lives of the Artists: v. 1: A selection"
"worldcat",9780140445008,0,"Lives of the artists"
"outpan",9780140445008,2,"Lives of the Artists: Volume 1"
"open-library",140445005,0,"Lives of the artists"
"nielsen",9781904313373,2,"Katsura: Imperial Villa"
"worldcat",9781904313373,0,"Katsura : imperial villa"
"outpan",9781904313373,0,"Katsura : Imperial Villa"
"open-library",9781904313373,1,"Katsura"
"nielsen",9780761930198,1,"Information Technology and the Criminal Justice System"
"worldcat",9780761930198,0,"Information technology and the criminal justice system"
"outpan",9780761930198,1,"Information Technology and the Criminal Justice System"
"open-library",761930191,0,"Information technology and the criminal justice system"
"nielsen",9780868614595,1,"Childcare in New Zealand"
"worldcat",9780868614595,0,"Childcare in New Zealand : people, programmes, politics"
"outpan",9780868614595,1,"Childcare in New Zealand"
"open-library",9780868614595,1,"Childcare in New Zealand"
"nielsen",9780743215329,2,"Ending the Vietnam War: A History of America's Involvement in and Extrication from the Vietnam War"
"worldcat",9780743215329,0,"Ending the Vietnam War : a personal history of America's involvement in and extrication from the Vietnam War"
"outpan",9780743215329,2,"Ending the Vietnam War: A History of America's Involvement in and Extrication from the Vietnam War"
"open-library","074321532X",1,"Ending the Vietnam War"
"nielsen",9780521251402,2,"The Marshall Plan: America, Britain and the Reconstruction of Western Europe, 1947-1952"
"worldcat",9780521251402,0,"The Marshall Plan : America, Britain, and the reconstruction of Western Europe, 1947-1952"
"outpan",9780521251402,1,"The Marshall Plan"
"open-library",521251400,1,"The Marshall Plan"
"nielsen",9780198781165,2,"Classical Social Theory: An Introduction to the Thought of Marx, Weber, Durkheim and Simmel"
"worldcat",9780198781165,0,"Classical social theory"
"outpan",9780198781165,0,"Classical social theory"
"open-library",198781164,0,"Classical social theory"
"nielsen",9781845452230,2,"Selling the Economic Miracle: Economic Reconstruction and Politics in West Germany, 1949-1957"
"worldcat",9781845452230,0,"Selling the economic miracle : economic reconstruction and politics in West Germany, 1949-1957"
"outpan",9781845452230,0,"Selling the Economic Miracle, Vol. 18"
"open-library",9781845452230,1,"Selling the Economic Miracle"
"nielsen",9780745649863,1,"Essential Concepts in Sociology"
"worldcat",9780745649863,0,"Essential concepts in sociology."
"outpan",9780745649863,1,"Essential Concepts in Sociology"
"nielsen",9780195082081,1,"Four Sociological Traditions"
"worldcat",9780195082081,0,"Four sociological traditions"
"outpan",9780195082081,1,"Four Sociological Traditions"
"open-library",195082087,0,"Four sociological traditions"
"nielsen",9780521097857,2,"Capitalism and Modern Social Theory: An Analysis of the Writings of Marx, Durkheim and Max Weber"
"worldcat",9780521097857,0,"Capitalism and modern social theory : an analysis of the writings of Marx, Durkheim and Max Weber"
"outpan",9780521097857,2,"Capitalism and Modern Social Theory: An Analysis of the Writings of Marx, Durkheim and Max Weber"
"open-library",9780521097857,1,"Capitalism and Modern Social Theory"
"nielsen",9780340939970,1,"Teach Yourself Marx"
"worldcat",9780340939970,1,"Marx"
"open-library",9780340939970,1,"Teach Yourself Marx"
"nielsen",9781412930772,1,"Understanding Media Economics"
"worldcat",9781412930772,0,"Understanding media economics"
"outpan",9781412930772,1,"Understanding Media Economics"
"open-library",9781412930772,1,"Understanding Media Economics"
"nielsen",9783642006340,1,"Green Building"
"worldcat",9783642006340,0,"Green building : guidebook for sustainable architecture"
"outpan",9783642006340,2,"Green Building: Guidebook for Sustainable Architecture"
"open-library",9783642006340,0,"Green building"
"nielsen",9781450401616,1,"Advanced Sports Nutrition"
"worldcat",9781450401616,0,"Advanced sports nutrition"
"outpan",9781450401616,0,"Advanced Sports Nutrition-2nd Edition"
"open-library",9781450401616,0,"Advanced sports nutrition"
"worldcat",9780176502720,0,"Cultural anthropology : a problem-based approach"
"nielsen",9781430496762,1,"Goethe's Literary Essays"
"outpan",9781430496762,1,"Goethe's Literary Essays"
"open-library",9781430496762,1,"Goethe's Literary Essays"
"nielsen",9780170195218,1,"Programming and Planning in Early Childhood Settings"
"worldcat",9780170195218,0,"Programming & planning in early childhood settings"
"nielsen",9780955826511,2,"Metastatic Spinal Cord Compression: Diagnosis and Management of Patients at Risk of or with Metastatic Spinal Cord Compression"
"worldcat",9780955826511,0,"Metastatic spinal cord compression : diagnosis and management of patients at risk of or with metastatic spinal cord compression."
"nielsen",9781444145465,2,"Personal Training: Theory and Practice"
"worldcat",9781444145465,0,"Personal training : theory and practice"
"outpan",9781444145465,1,"Personal Training"
"nielsen",9780954007966,2,"A2 Sociology: The Complete Course for the AQA Specification"
"worldcat",9780954007966,0,"A2 sociology : the complete course for the AQA specification"
"outpan",9780954007966,0,"A2 Sociology: The Complete Course for the AQA Specification (Napier Press)"
"nielsen",9780415341424,1,"Strategies for Sustainable Architecture"
"worldcat",9780415341424,0,"Strategies for sustainable architecture"
"outpan",9780415341424,1,"Strategies for Sustainable Architecture"
"open-library",415341426,0,"Strategies for sustainable architecture"
"nielsen",9780803297746,1,"Art and Politics"
"worldcat",9780803297746,0,"Art and politics"
"outpan",9780803297746,0,"Art &amp; Politics"
"open-library",803297742,0,"Art and politics"
"open-library",9782454305030,1,"Kissing Jessica Stein"
"nielsen",9780195104486,1,"International Monetary Cooperation Since Bretton Woods"
"worldcat",9780195104486,0,"International monetary cooperation since Bretton Woods"
"outpan",9780195104486,0,"International monetary cooperation since Bretton Woods"
"open-library","019510448X",0,"International monetary cooperation since Bretton Woods"
"nielsen",9780415628938,1,"Criminology"
"worldcat",9780415628938,1,"Criminology"
"outpan",9780415628938,1,"Criminology"
"open-library",9780415628938,1,"Criminology"
"nielsen",9780028659947,1,"International Dictionary of Psychoanalysis"
"worldcat",9780028659947,9,"International dictionary of psychoanalysis"
"outpan",9780028659947,9,"International dictionary of psychoanalysis"
"nielsen",9780340966617,1,"Years of Russia, the USSR and the Collapse of Soviet Communism"
"worldcat",9780340966617,9,"Years of Russia, the USSR and the collapse of Soviet communism"
"outpan",9780340966617,1,"Years of Russia, the USSR and the Collapse of Soviet Communism"
"nielsen",9781741143904,2,"Complete Guide to Food for Sports Performance: Peak Nutrition for Your Sport"
"worldcat",9781741143904,0,"The complete guide to food for sports performance : a guide to peak nutrition for your sport"
"outpan",9781741143904,2,"The Complete Guide to Food for Sports Performance: A Guide to Peak Nutrition for Your Sport"
"open-library",9781741143904,0,"The complete guide to food for sports performance"
"nielsen",9780525934554,0,"Oates Joyce Carol : Black Water (Hbk)"
"worldcat",9780525934554,0,"Black water : [a novel]"
"outpan",9780525934554,1,"Black Water"
"open-library",525934553,0,"Black water"
"nielsen",9780743296946,2,"The Fruit Hunters: A Story of Nature, Adventure, Commerce and Obsession"
"worldcat",9780743296946,0,"The fruit hunters : a story of nature, adventure, commerce, and obsession"
"outpan",9780743296946,2,"The Fruit Hunters: A Story of Nature, Adventure, Commerce and Obsession"
"open-library",9780743296946,1,"The Fruit Hunters"
"nielsen",9780804709033,1,"Origins of Marshall Plan"
"worldcat",9780804709033,0,"The origins of the Marshall plan"
"outpan",9780804709033,1,"The Origins of the Marshall Plan"
"open-library",804709033,0,"The origins of the Marshall plan"
"worldcat",9780324360738,0,"Global business"
"outpan",9780324360738,1,"Global Business"
"nielsen",9780324360738,1,"Global Business"
"open-library",9780324360738,1,"Global Business"
"nielsen",9781408105382,1,"A Complete Guide to Sports Nutrition"
"worldcat",9781408105382,0,"The complete guide to sports nutrition"
"outpan",9781408105382,0,"The Complete Guide to Sports Nutrition (Complete Guides)"
"open-library",9781408105382,0,"The complete guide to sports nutrition"
"worldcat",9780060722289,0,"The falls : a novel"
